Run	Hms_ang	shms_ang rate	hms_P    shms_P	
6485   -13.96   9.0410   12.6   6.3580   7
6486   -13.96   19.086   37.5   6.3580   2.9660
6487   -13.96   19.086   4.71   6.3580   2.9660
6488   -13.96   19.086   4.71   6.3580   2.5410
6489   -13.96   19.086   38.7   6.3580   2.5410
6490   -13.96   19.086   26.5   6.3580   2.1160
6491   -13.96   19.086   26.9   6.3580   2.1160
6493   -13.96   19.086   26.4   6.3580   2.1160
6494   -13.96   19.086   4.72   6.3580   2.1160
6495   -13.96   19.086   4.68   6.3580   1.6910
6496   -13.96   19.086   12.5   6.3580   1.6910
6497   -13.96   19.086   12.5   6.3580   1.6910
6498   -13.96   19.086   12.6   6.3580   1.6910
6499   -13.96   19.086   12.5   6.3580   1.6910
6500   -13.96   19.086   34.1   6.3580   2.9660
6501   -13.96   19.086   39.3   6.3580   2.9660
6502   -13.96   19.086   4.70   6.3580   2.9660
6503   -13.96   19.086   4.63   6.3580   2.5410
6504   -13.96   19.086   4.75   6.3580   2.5410
6506   -13.96   19.086   21.8   6.3580   2.5410
6507   -13.96   19.086   22.0   6.3580   2.5410
6509   -13.96   19.086   11.2   6.3580   2.1160
6510   -13.96   19.086   11.3   6.3580   2.1160
6512   -13.96   19.086   4.52   6.3580   2.1160
6513   -13.96   19.086   4.53   6.3580   1.6910
6514   -13.96   19.086   6.14   6.3580   1.6910
6515   -13.96   19.086   6.24   6.3580   1.6910
6516   -13.96   19.086   6.28   6.3580   1.6910
6517   -13.96   19.086   6.26   6.3580   1.6910
6518   -19.05   14.175   9.40   4.7360   4.1020
6519   -19.05   14.175   10.4   4.7360   4.1020
6520   -19.05   14.175   10.0   4.7360   4.1020
6521   -19.05   14.175   1.18   4.7360   4.1020
6522   -19.05   14.175   1.19   4.7360   4.1020
6523   -19.05   14.175   1.18   4.7360   4.1020
6524   -19.05   14.175   10.4   4.7360   4.1020
6525   -19.05   14.175   10.1   4.7360   4.1020
6526   -19.05   14.175   10.3   4.7360   4.1020
6527   -19.05   14.175   9.62   4.7360   3.5150
6528   -19.05   14.175   9.57   4.7360   3.5150
6529   -19.05   14.175   9.64   4.7360   3.5150
6531   -19.05   14.175   1.21   4.7360   3.5150
6532   -19.05   14.175   1.20   4.7360   3.5150
6533   -19.05   14.175   1.20   4.7360   3.5150
6534   -19.05   14.175   1.20   4.7360   3.5150
6535   -19.05   14.175   5.55   4.7360   3.5150
6536   -19.05   14.175   5.54   4.7360   3.5150
6537   -15.38   14.208   26.2   5.2700   3.7290
6538   -15.38   14.208   4.33   5.2700   3.7290
6539   -15.38   14.208   4.34   5.2700   3.1950
6541   -15.38   14.208   14.4   5.2700   3.1950
6542   -15.38   14.208   7.50   5.2700   2.6620
6543   -15.38   14.208   7.45   5.2700   2.6620
6544   -15.38   14.208   4.01   5.2700   2.6620
6545   -15.38   14.208   37.8   5.2700   3.7290
6546   -15.38   14.208   4.18   5.2700   3.7290
6547   -15.38   14.208   4.18   5.2700   3.1950
6548   -15.38   14.208   25.5   5.2700   3.1950
6549   -15.38   14.208   25.2   5.2700   3.1950
6550   -15.38   14.208   13.8   5.2700   2.6620
6551   -15.38   14.208   14.0   5.2700   2.6620
6552   -15.38   14.208   4.26   5.2700   2.6620
7593   -17.65   19.930   6.31   5.7140   3.1500
7594   -17.65   19.930   6.47   5.7140   3.1500
7595   -17.65   19.930   6.34   5.7140   3.1500
7596   -17.65   19.930   6.31   5.7140   3.1500
7597   -17.65   19.930   6.04   5.7140   3.1500
7599   -17.65   19.930   0.92   5.7140   3.1500
7600   -17.65   19.930   0.92   5.7140   3.1500
7601   -17.65   19.930   0.91   5.7140   3.1500
7602   -17.65   19.930   0.91   5.7140   3.1500
7603   -17.65   19.930   0.89   5.7140   3.1500
7604   -17.65   19.930   0.92   5.7140   3.1500
7605   -17.65   19.930   0.92   5.7140   2.6990
7606   -17.65   19.930   0.91   5.7140   2.6990
7607   -17.65   19.930   0.92   5.7140   2.6990
7608   -17.65   19.930   6.49   5.7140   2.6990
7609   -17.65   19.930   6.51   5.7140   2.6990
7610   -17.65   19.930   6.38   5.7140   2.6990
7611   -17.65   19.930   6.43   5.7140   2.2480
7612   -17.65   19.930   6.37   5.7140   2.2480
7613   -17.65   19.930   6.47   5.7140   2.2480
7614   -17.65   19.930   6.45   5.7140   2.2480
7615   -17.65   19.930   6.50   5.7140   2.2480
7616   -17.65   19.930   6.46   5.7140   2.2480
7617   -17.65   19.930   0.92   5.7140   2.2480
7618   -17.65   19.930   0.93   5.7140   2.2480
7619   -17.65   19.930   0.93   5.7140   2.2480
7620   -17.65   19.930   0.92   5.7140   1.7970
7621   -17.65   19.930   0.92   5.7140   1.7970
7622   -17.65   19.930   0.92   5.7140   1.7970
7623   -17.65   19.930   0.93   5.7140   1.7970
7625   -17.65   19.930   4.09   5.7140   1.7970
7626   -17.65   19.930   4.09   5.7140   1.7970
7627   -17.65   19.930   4.10   5.7140   1.7970
7628   -17.65   19.930   4.11   5.7140   1.7970
7629   -17.65   19.930   4.08   5.7140   1.7970
7630   -17.65   19.930   4.10   5.7140   1.7970
7631   -17.65   19.930   4.11   5.7140   1.7970
7632   -17.65   19.930   4.11   5.7140   1.7970
7633   -17.65   19.930   4.12   5.7140   1.7970
7634   -17.65   19.930   4.12   5.7140   1.7970
7635   -17.65   19.930   3.18   5.7140   3.1500
7636   -17.65   19.930   3.17   5.7140   3.1500
7637   -17.65   19.930   3.16   5.7140   3.1500
7638   -17.65   19.930   0.92   5.7140   3.1500
7639   -17.65   19.930   0.92   5.7140   3.1500
7640   -17.65   19.930   0.91   5.7140   2.6990
7641   -17.65   19.930   0.91   5.7140   2.6990
7642   -17.65   19.930   2.74   5.7140   2.6990
7643   -17.65   19.930   2.74   5.7140   2.6990
7644   -17.65   19.930   2.73   5.7140   2.6990
7645   -17.65   19.930   2.70   5.7140   2.6990
7646   -17.65   19.930   2.47   5.7140   2.2480
7647   -17.65   19.930   2.47   5.7140   2.2480
7648   -17.65   19.930   2.49   5.7140   2.2480
7649   -17.65   19.930   2.47   5.7140   2.2480
7650   -17.65   19.930   2.49   5.7140   2.2480
7651   -17.65   19.930   2.85   5.7140   2.2480
7652   -17.65   19.930   2.98   5.7140   2.2480
7654   -17.65   19.930   0.91   5.7140   2.2480
7655   -17.65   19.930   0.90   5.7140   2.2480
7657   -17.65   19.930   0.90   5.7140   1.7970
7658   -17.65   19.930   0.90   5.7140   1.7970
7659   -17.65   19.930   0.88   5.7140   1.7970
7660   -17.65   19.930   0.92   5.7140   1.7970
7661   -17.65   19.930   1.69   5.7140   1.7970
7662   -17.65   19.930   1.68   5.7140   1.7970
7663   -17.65   19.930   1.69   5.7140   1.7970
7666   -17.65   19.930   1.68   5.7140   1.7970
7667   -17.65   19.930   1.68   5.7140   1.7970
7668   -17.65   19.930   1.63   5.7140   1.7970
7669   -17.65   19.930   1.63   5.7140   1.7970
7670   -17.65   19.930   1.63   5.7140   1.7970
7671   -20.24   13.810   6.82   4.3570   3.5140
7672   -20.24   13.810   6.97   4.3570   3.5140
7673   -20.24   13.810   1.04   4.3570   3.5140
7674   -20.24   13.810   1.04   4.3570   3.5140
7675   -20.24   13.810   1.04   4.3570   2.9280
7676   -20.24   13.810   1.05   4.3570   2.9280
7677   -20.24   13.810   1.05   4.3570   2.9280
